region,total,date
Агинский Бурятский округ (Забайкальский край),37,13149
Агинский Бурятский округ (Забайкальский край),40,13180
Агинский Бурятский округ (Забайкальский край),42,13208
Агинский Бурятский округ (Забайкальский край),56,13239
Агинский Бурятский округ (Забайкальский край),19,13269
Агинский Бурятский округ (Забайкальский край),50,13300
Агинский Бурятский округ (Забайкальский край),81,13330
Агинский Бурятский округ (Забайкальский край),113,13361
Агинский Бурятский округ (Забайкальский край),72,13392
Агинский Бурятский округ (Забайкальский край),92,13422
Агинский Бурятский округ (Забайкальский край),60,13453
Агинский Бурятский округ (Забайкальский край),53,13483
Агинский Бурятский округ (Забайкальский край),42,13514
Агинский Бурятский округ (Забайкальский край),51,13545
Агинский Бурятский округ (Забайкальский край),58,13573
Агинский Бурятский округ (Забайкальский край),64,13604
Агинский Бурятский округ (Забайкальский край),21,13634
Агинский Бурятский округ (Забайкальский край),63,13665
Агинский Бурятский округ (Забайкальский край),86,13695
Агинский Бурятский округ (Забайкальский край),94,13726
Агинский Бурятский округ (Забайкальский край),74,13757
Агинский Бурятский округ (Забайкальский край),107,13787
Агинский Бурятский округ (Забайкальский край),89,13818
Агинский Бурятский округ (Забайкальский край),58,13848
Агинский Бурятский округ (Забайкальский край),46,13879
Агинский Бурятский округ (Забайкальский край),51,13910
Агинский Бурятский округ (Забайкальский край),52,13939
Агинский Бурятский округ (Забайкальский край),68,13970
Агинский Бурятский округ (Забайкальский край),15,14000
Агинский Бурятский округ (Забайкальский край),73,14031
Агинский Бурятский округ (Забайкальский край),99,14061
Агинский Бурятский округ (Забайкальский край),92,14092
Агинский Бурятский округ (Забайкальский край),72,14123
Агинский Бурятский округ (Забайкальский край),89,14153
Агинский Бурятский округ (Забайкальский край),69,14184
Агинский Бурятский округ (Забайкальский край),64,14214
Агинский Бурятский округ (Забайкальский край),30,14245
Агинский Бурятский округ (Забайкальский край),49,14276
Агинский Бурятский округ (Забайкальский край),37,14304
Агинский Бурятский округ (Забайкальский край),53,14335
Агинский Бурятский округ (Забайкальский край),19,14365
Агинский Бурятский округ (Забайкальский край),71,14396
Агинский Бурятский округ (Забайкальский край),96,14426
Агинский Бурятский округ (Забайкальский край),97,14457
Агинский Бурятский округ (Забайкальский край),61,14488
Агинский Бурятский округ (Забайкальский край),61,14518
Агинский Бурятский округ (Забайкальский край),61,14549
Агинский Бурятский округ (Забайкальский край),62,14579
Агинский Бурятский округ (Забайкальский край),44,14610
Агинский Бурятский округ (Забайкальский край),45,14641
Агинский Бурятский округ (Забайкальский край),46,14669
Агинский Бурятский округ (Забайкальский край),47,14700
Агинский Бурятский округ (Забайкальский край),6,14730
Агинский Бурятский округ (Забайкальский край),71,14761
Агинский Бурятский округ (Забайкальский край),82,14791
Агинский Бурятский округ (Забайкальский край),92,14822
Агинский Бурятский округ (Забайкальский край),64,14853
Агинский Бурятский округ (Забайкальский край),66,14883
Агинский Бурятский округ (Забайкальский край),55,14914
Агинский Бурятский округ (Забайкальский край),50,14944
Агинский Бурятский округ (Забайкальский край),,14975
Агинский Бурятский округ (Забайкальский край),,15006
Агинский Бурятский округ (Забайкальский край),,15034
Агинский Бурятский округ (Забайкальский край),,15065
Агинский Бурятский округ (Забайкальский край),,15095
Агинский Бурятский округ (Забайкальский край),,15126
Агинский Бурятский округ (Забайкальский край),,15156
Агинский Бурятский округ (Забайкальский край),,15187
Агинский Бурятский округ (Забайкальский край),,15218
Агинский Бурятский округ (Забайкальский край),,15248
Агинский Бурятский округ (Забайкальский край),,15279
Агинский Бурятский округ (Забайкальский край),,15309
Агинский Бурятский округ (Забайкальский край),,15340
Агинский Бурятский округ (Забайкальский край),,15371
Агинский Бурятский округ (Забайкальский край),,15400
Агинский Бурятский округ (Забайкальский край),,15431
Агинский Бурятский округ (Забайкальский край),,15461
Агинский Бурятский округ (Забайкальский край),,15492
Агинский Бурятский округ (Забайкальский край),,15522
Агинский Бурятский округ (Забайкальский край),,15553
Агинский Бурятский округ (Забайкальский край),,15584
Агинский Бурятский округ (Забайкальский край),,15614
Агинский Бурятский округ (Забайкальский край),,15645
Агинский Бурятский округ (Забайкальский край),,15675
Агинский Бурятский округ (Забайкальский край),,15706
Агинский Бурятский округ (Забайкальский край),,15737
Агинский Бурятский округ (Забайкальский край),,15765
Агинский Бурятский округ (Забайкальский край),,15796
Агинский Бурятский округ (Забайкальский край),,15826
Агинский Бурятский округ (Забайкальский край),,15857
Агинский Бурятский округ (Забайкальский край),,15887
Агинский Бурятский округ (Забайкальский край),,15918
Агинский Бурятский округ (Забайкальский край),,15949
Агинский Бурятский округ (Забайкальский край),,15979
Агинский Бурятский округ (Забайкальский край),,16010
Агинский Бурятский округ (Забайкальский край),,16040
